sample_name	REPORTER	SPLIT-AD	SPLIT-DBD	
Rh5_201609-rep2	10xUAS_UNC84_attP2			
Rh6_201609-rep1	10xUAS_UNC84_attP2			
Rh6_201609-rep2	10xUAS_UNC84_attP2			
panR7_201609-rep1	10xUAS_UNC84_attP2			
panR7_201609-rep2	10xUAS_UNC84_attP2			
Rh1_201609-rep1	10xUAS_UNC84_attP2			
Rh1_201609-rep2	10xUAS_UNC84_attP2			
opticlobe_Eg_rep1	NA	NA	NA	
lamina_Eg_rep1	NA	NA	NA	
opticlobe_Tm1_rep1	NA	NA	NA	
lamina_Tm1_rep1	NA	NA	NA	
opticlobe_Eg_rep2	NA	NA	NA	
lamina_Eg_rep2	NA	NA	NA	
opticlobe_Tm1_rep2	NA	NA	NA	
lamina_Tm1_rep2	NA	NA	NA	
TmY3_201609_rep1	10xUAS_UNC84_attP2	R71D01-p65ADZp_attP40	R10C06-ZpGDBD_attP2	
TmY3_201609_rep2	10xUAS_UNC84_attP2	R71D01-p65ADZp_attP40	R10C06-ZpGDBD_attP2	
Dm10_201609_rep1	10xUAS_UNC84_attP2	R65H03-p65ADZp_attP40	R71D01-ZpGDBD_attP2	
Dm10_201609_rep2	10xUAS_UNC84_attP2	R65H03-p65ADZp_attP40	R71D01-ZpGDBD_attP2	
Dm9_201609_rep1	10xUAS_UNC84_attP2	R19G04-p65ADZp_attP40	VT017422-ZpGDBD_attP2	
Dm9_201609_rep2	10xUAS_UNC84_attP2	R19G04-p65ADZp_attP40	VT017422-ZpGDBD_attP2	
Dm11_201609_rep1	10xUAS_UNC84_attP2	VT043162-p65ADZp_attP40	R15C01-ZpGDBD_attP2	
Dm11_201609_rep2	10xUAS_UNC84_attP2	VT043162-p65ADZp_attP40	R15C01-ZpGDBD_attP2	
Pm4_201609_rep1	10xUAS_UNC84_attP2	R52B07-p65ADZp_attP40	R53C05-ZpGDBD_attP2	
Pm4_201609_rep2	10xUAS_UNC84_attP2	R52B07-p65ADZp_attP40	R53C05-ZpGDBD_attP2	
Mi15_201609_rep1	10xUAS_UNC84_attP2	R26H07-p65ADZp_attP40	VT010253-ZpGDBD_attP2	
Mi15_201609_rep2	10xUAS_UNC84_attP2	R26H07-p65ADZp_attP40	VT010253-ZpGDBD_attP2	
TmY5a_201609_rep1	10xUAS_UNC84_attP2	R26A02-p65ADZp_attP40	R73C02-ZpGDBD_attP2	
TmY5a_201609_rep2	10xUAS_UNC84_attP2	R26A02-p65ADZp_attP40	R73C02-ZpGDBD_attP2	
LLPC1_201609_rep1	10xUAS_UNC84_attP2	VT048351-p65ADZp_attP40	VT057342-ZpGDBD_attP2	
LLPC1_201609_rep2	10xUAS_UNC84_attP2	VT048351-p65ADZp_attP40	VT057342-ZpGDBD_attP2	
LPC1_d1_201609_rep1	10xUAS_UNC84_attP2	R81A05-p65ADZp_attP40	VT031495-ZpGDBD_attP2	
LPC1_d1_201609_rep2	10xUAS_UNC84_attP2	R81A05-p65ADZp_attP40	VT031495-ZpGDBD_attP2	
LC10_d1_201609_rep1	10xUAS_UNC84_attP2	R35D04-p65ADZp_attP40	R22D06-ZpGDBD_attP2	
LC10_d1_201609_rep2	10xUAS_UNC84_attP2	R35D04-p65ADZp_attP40	R22D06-ZpGDBD_attP2	
LPC1_d2_201609_rep1	10xUAS_UNC84_attP2	R81A05-p65ADZp_attP40	VT043014-ZpGDBD_attP2	
LPC1_d2_201609_rep2	10xUAS_UNC84_attP2	R81A05-p65ADZp_attP40	VT043014-ZpGDBD_attP2	
LC10_d3_201609_rep1				
LC10_d3_201609_rep2				
Dm4b_201609_rep1	10xUAS_UNC84_attP2	R12C04-p65ADZp_attP40	R75H07-ZpGDBD_attP2	
Dm4b_201609_rep2	10xUAS_UNC84_attP2	R12C04-p65ADZp_attP40	R75H07-ZpGDBD_attP2	
LC16_d1_201609_rep1	10xUAS_UNC84_attP2	R26A03-p65ADZp_attP40	R54A05-ZpGDBD_attP2	
LC16_d1_201609_rep2	10xUAS_UNC84_attP2	R26A03-p65ADZp_attP40	R54A05-ZpGDBD_attP2	
LC16_d2_201609_rep1	10xUAS_UNC84_attP2	R92B02-p65ADZp_VK00027	R38E08-ZpGDBD_attP2	
